#                 x      shearStress_xx      shearStress_xy      shearStress_xz      shearStress_yy      shearStress_yz      shearStress_zz                 U_x                 U_y                 U_z
              1e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
   1.0980980981e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
   1.1961961962e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  1.29429429429e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  1.39239239239e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  1.49049049049e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  1.58858858859e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  1.68668668669e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  1.78478478478e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  1.88288288288e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  1.98098098098e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  2.07907907908e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  2.17717717718e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  2.27527527528e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  2.37337337337e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  2.47147147147e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  2.56956956957e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  2.66766766767e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  2.76576576577e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  2.86386386386e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  2.96196196196e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  3.06006006006e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  3.15815815816e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  3.25625625626e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  3.35435435435e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  3.45245245245e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  3.55055055055e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  3.64864864865e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  3.74674674675e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  3.84484484484e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  3.94294294294e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  4.04104104104e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  4.13913913914e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  4.23723723724e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  4.33533533534e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  4.43343343343e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  4.53153153153e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  4.62962962963e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  4.72772772773e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  4.82582582583e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  4.92392392392e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  5.02202202202e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  5.12012012012e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
  5.21821821822e-06  -5.33609545669e-06    -0.0561369724833  -3.76039569264e-14   1.63780192108e-05  -1.05590883259e-13  -2.82530690414e-06   7.96405979909e-10    -0.0456960654109  -2.84045727128e-18
