"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.7888e-06,4.2287e-06,0.12134,-0.011491,-0.038153,-351.96,-0.035197,-0.014605,-351.74,-0.0021819,-0.0032364,0.02611,0.0010449,26.36,2.3889e-05,3.0494e-05,-5.4383e-05,7.6642e-05,0.3672,0.3672,497.84,0,0,0,1,0.00025908,0.0001832,0.0001832,0.0065
3.7708e-06,4.207e-06,0.12106,-0.011662,-0.038151,-353.63,-0.035199,-0.014766,-353.46,-0.0021702,-0.003218,0.026442,0.0010421,26.36,2.4195e-05,3.0744e-05,-5.4938e-05,7.644e-05,0.36802,0.36802,500.24,0,0,0,1,0.00025965,0.0001836,0.0001836,0.0065
3.7529e-06,4.1853e-06,0.12078,-0.011833,-0.038149,-355.31,-0.035201,-0.014926,-355.18,-0.0021585,-0.0031996,0.026773,0.0010394,26.36,2.45e-05,3.0994e-05,-5.5494e-05,7.6238e-05,0.36884,0.36884,502.64,0,0,0,1,0.00026022,0.000184,0.000184,0.0065
3.7349e-06,4.1635e-06,0.12051,-0.012003,-0.038146,-356.99,-0.035202,-0.015087,-356.89,-0.0021469,-0.0031811,0.027105,0.0010366,26.36,2.4806e-05,3.1244e-05,-5.605e-05,7.6036e-05,0.36966,0.36965,505.04,0,0,0,1,0.00026078,0.0001844,0.0001844,0.0065
3.7169e-06,4.1418e-06,0.12023,-0.012174,-0.038144,-358.66,-0.035204,-0.015248,-358.61,-0.0021352,-0.0031627,0.027437,0.0010339,26.36,2.5112e-05,3.1494e-05,-5.6606e-05,7.5834e-05,0.37047,0.37047,507.44,0,0,0,1,0.00026135,0.0001848,0.0001848,0.0065
3.6989e-06,4.1201e-06,0.11995,-0.012345,-0.038142,-360.34,-0.035206,-0.015409,-360.33,-0.0021235,-0.0031443,0.027768,0.0010311,26.36,2.5417e-05,3.1745e-05,-5.7162e-05,7.5632e-05,0.37129,0.37129,509.84,0,0,0,1,0.00026191,0.0001852,0.0001852,0.0065
3.6796e-06,4.0987e-06,0.11966,-0.012499,-0.03813,-362.08,-0.035199,-0.015562,-362.05,-0.0021113,-0.0031261,0.028075,0.0010285,26.36,2.5666e-05,3.1978e-05,-5.7644e-05,7.5419e-05,0.37211,0.37211,512.29,0,0,0,1,0.00026248,0.0001856,0.0001856,0.0065
3.6595e-06,4.0775e-06,0.11936,-0.012642,-0.038112,-363.86,-0.035185,-0.015709,-363.79,-0.0020987,-0.0031081,0.028365,0.0010259,26.36,2.5879e-05,3.2201e-05,-5.808e-05,7.5199e-05,0.37293,0.37293,514.78,0,0,0,1,0.00026304,0.000186,0.000186,0.0065
3.6393e-06,4.0563e-06,0.11906,-0.012785,-0.038094,-365.64,-0.035171,-0.015857,-365.53,-0.002086,-0.0030901,0.028656,0.0010233,26.36,2.6092e-05,3.2423e-05,-5.8515e-05,7.4978e-05,0.37375,0.37374,517.26,0,0,0,1,0.00026361,0.0001864,0.0001864,0.0065
3.6191e-06,4.0351e-06,0.11876,-0.012928,-0.038076,-367.42,-0.035158,-0.016004,-367.27,-0.0020734,-0.0030721,0.028947,0.0010207,26.36,2.6304e-05,3.2646e-05,-5.895e-05,7.4758e-05,0.37456,0.37456,519.75,0,0,0,1,0.00026418,0.0001868,0.0001868,0.0065
3.599e-06,4.0139e-06,0.11846,-0.013072,-0.038058,-369.2,-0.035144,-0.016152,-369,-0.0020608,-0.0030541,0.029237,0.0010182,26.36,2.6517e-05,3.2868e-05,-5.9386e-05,7.4538e-05,0.37538,0.37538,522.24,0,0,0,1,0.00026474,0.0001872,0.0001872,0.0065
3.5788e-06,3.9927e-06,0.11816,-0.013215,-0.038039,-370.98,-0.035131,-0.016299,-370.74,-0.0020482,-0.0030361,0.029528,0.0010156,26.36,2.673e-05,3.3091e-05,-5.9821e-05,7.4318e-05,0.3762,0.3762,524.73,0,0,0,1,0.00026531,0.0001876,0.0001876,0.0065
3.5587e-06,3.9715e-06,0.11786,-0.013358,-0.038021,-372.76,-0.035117,-0.016447,-372.48,-0.0020356,-0.0030181,0.029819,0.001013,26.36,2.6943e-05,3.3314e-05,-6.0256e-05,7.4098e-05,0.37702,0.37702,527.21,0,0,0,1,0.00026587,0.000188,0.000188,0.0065
3.5393e-06,3.9495e-06,0.11757,-0.013506,-0.038003,-374.51,-0.035104,-0.016589,-374.24,-0.0020234,-0.0029998,0.030109,0.0010104,26.36,2.7175e-05,3.3516e-05,-6.0691e-05,7.3878e-05,0.37784,0.37783,529.7,0,0,0,1,0.00026644,0.0001884,0.0001884,0.0065
3.5205e-06,3.927e-06,0.11727,-0.013657,-0.037985,-376.25,-0.03509,-0.016729,-376.02,-0.0020115,-0.0029812,0.030399,0.0010079,26.36,2.7419e-05,3.3705e-05,-6.1125e-05,7.3658e-05,0.37865,0.37865,532.19,0,0,0,1,0.000267,0.0001888,0.0001888,0.0065
3.5016e-06,3.9044e-06,0.11697,-0.013808,-0.037967,-377.98,-0.035077,-0.016868,-377.8,-0.0019995,-0.0029626,0.030689,0.0010053,26.36,2.7664e-05,3.3894e-05,-6.1558e-05,7.3439e-05,0.37947,0.37947,534.68,0,0,0,1,0.00026757,0.0001892,0.0001892,0.0065
3.4828e-06,3.8819e-06,0.11667,-0.013958,-0.037949,-379.72,-0.035064,-0.017007,-379.58,-0.0019875,-0.0029441,0.03098,0.0010027,26.36,2.7909e-05,3.4083e-05,-6.1992e-05,7.3219e-05,0.38029,0.38029,537.17,0,0,0,1,0.00026813,0.0001896,0.0001896,0.0065
3.4639e-06,3.8594e-06,0.11637,-0.014109,-0.037931,-381.46,-0.035051,-0.017146,-381.36,-0.0019756,-0.0029255,0.03127,0.0010001,26.36,2.8153e-05,3.4272e-05,-6.2426e-05,7.3e-05,0.38111,0.38111,539.65,0,0,0,1,0.0002687,0.00019,0.00019,0.0065
3.4451e-06,3.8369e-06,0.11607,-0.01426,-0.037913,-383.2,-0.035037,-0.017286,-383.14,-0.0019636,-0.0029069,0.03156,0.00099757,26.36,2.8398e-05,3.4462e-05,-6.286e-05,7.278e-05,0.38193,0.38192,542.14,0,0,0,1,0.00026927,0.0001904,0.0001904,0.0065
3.4263e-06,3.8143e-06,0.11577,-0.014411,-0.037895,-384.94,-0.035024,-0.017425,-384.91,-0.0019517,-0.0028883,0.03185,0.000995,26.36,2.8643e-05,3.4651e-05,-6.3293e-05,7.2561e-05,0.38274,0.38274,544.63,0,0,0,1,0.00026983,0.0001908,0.0001908,0.0065
3.4065e-06,3.7921e-06,0.11547,-0.014549,-0.03787,-386.72,-0.035003,-0.017558,-386.7,-0.0019394,-0.00287,0.032121,0.0009925,26.36,2.8847e-05,3.4829e-05,-6.3676e-05,7.2333e-05,0.38356,0.38356,547.16,0,0,0,1,0.0002704,0.0001912,0.0001912,0.0065
3.3857e-06,3.7703e-06,0.11515,-0.01467,-0.037835,-388.56,-0.034974,-0.017684,-388.5,-0.0019266,-0.002852,0.032368,0.00099009,26.36,2.9002e-05,3.4995e-05,-6.3997e-05,7.2097e-05,0.38438,0.38438,549.73,0,0,0,1,0.00027096,0.0001916,0.0001916,0.0065
3.3649e-06,3.7485e-06,0.11483,-0.014791,-0.037801,-390.41,-0.034945,-0.01781,-390.3,-0.0019138,-0.002834,0.032615,0.00098768,26.36,2.9157e-05,3.516e-05,-6.4317e-05,7.186e-05,0.3852,0.3852,552.31,0,0,0,1,0.00027153,0.000192,0.000192,0.0065
3.3441e-06,3.7267e-06,0.11451,-0.014912,-0.037766,-392.25,-0.034915,-0.017936,-392.1,-0.0019011,-0.002816,0.032861,0.00098527,26.36,2.9312e-05,3.5326e-05,-6.4638e-05,7.1623e-05,0.38601,0.38601,554.89,0,0,0,1,0.00027209,0.0001924,0.0001924,0.0065
3.3233e-06,3.7049e-06,0.11419,-0.015033,-0.037732,-394.1,-0.034886,-0.018062,-393.9,-0.0018883,-0.002798,0.033108,0.00098286,26.36,2.9467e-05,3.5491e-05,-6.4959e-05,7.1386e-05,0.38683,0.38683,557.47,0,0,0,1,0.00027266,0.0001928,0.0001928,0.0065
3.3025e-06,3.6831e-06,0.11387,-0.015154,-0.037698,-395.94,-0.034857,-0.018187,-395.7,-0.0018756,-0.00278,0.033355,0.00098045,26.36,2.9622e-05,3.5657e-05,-6.5279e-05,7.115e-05,0.38765,0.38765,560.04,0,0,0,1,0.00027323,0.0001932,0.0001932,0.0065
3.2817e-06,3.6612e-06,0.11355,-0.015275,-0.037663,-397.78,-0.034827,-0.018313,-397.5,-0.0018628,-0.002762,0.033602,0.00097804,26.36,2.9777e-05,3.5822e-05,-6.56e-05,7.0913e-05,0.38847,0.38847,562.62,0,0,0,1,0.00027379,0.0001936,0.0001936,0.0065
3.2614e-06,3.6389e-06,0.11323,-0.0154,-0.037629,-399.61,-0.034798,-0.018436,-399.32,-0.0018503,-0.0027438,0.033849,0.00097563,26.36,2.9945e-05,3.5975e-05,-6.592e-05,7.0676e-05,0.38929,0.38929,565.2,0,0,0,1,0.00027436,0.000194,0.000194,0.0065
3.2419e-06,3.6158e-06,0.11291,-0.015529,-0.037595,-401.41,-0.034769,-0.018552,-401.16,-0.0018382,-0.0027252,0.034095,0.00097322,26.36,3.0132e-05,3.6107e-05,-6.6239e-05,7.044e-05,0.3901,0.3901,567.78,0,0,0,1,0.00027492,0.0001944,0.0001944,0.0065
